Provisioning Status
Subscription ID,Subscription Name,Order Id,Description,Billing Date(Anniversary Date),Offer Name,Service Name,Subs Status,Subs Extra Status,Provisioning Status
"""53982d63-dde4-4554-a292-bbcdf1563f4e""","""Pay-As-You-Go""","""e40c7bb7-451f-43c1-a304-119ef10bcf49""","""Pay-As-You-Go""",10,,"""Azure Service Component""",Enabled,None,Provisioned

Statement
Billing Period,Meter Category,Meter Sub-category,Meter Name,Meter Region,SKU,Unit,Consumed Quantity,Included Quantity,Within Commitment,Overage Quantity,Currency,Overage,Commitment Rate,Rate,Value
8/15/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.003209,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/15/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000167058780789375305,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/15/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.002307935617864131971,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/15/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.00007095187902450561568,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/15/2018,"""App Services""","""0f824807-2376-435c-95c9-f992b67a07b0""","""Key Vault""","""Operations (in 10,000s)""",,"""10,000s""",0.0002,"""ukwest""","""Microsoft.KeyVault""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.KeyVault/vaults/RSR-Vault""","""{}""","""{}""",,
8/15/2018,"""Data Services""","""d72ca4ba-8925-4d30-bbd9-ebbe0c917841""","""SQL Database""","""Basic Database Days""","""UK West""","""Days""",0.999999999999999936,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/16/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.00124879460781812664,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/16/2018,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/16/2018,"""Azure App Service""","""ba302f7a-078b-4141-a636-a76315ba44ce""",,"""Basic Small App Service Hours""",,"""Hours""",24.0,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""","""{}""","""{}""",,
8/16/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000468,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/16/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000101008452475070954,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/16/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.001595034264028072436,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/16/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.00002593174576759338356,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/16/2018,"""App Services""","""0f824807-2376-435c-95c9-f992b67a07b0""","""Key Vault""","""Operations (in 10,000s)""",,"""10,000s""",0.0002,"""ukwest""","""Microsoft.KeyVault""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.KeyVault/vaults/RSR-Vault""","""{}""","""{}""",,
8/16/2018,"""Data Services""","""d72ca4ba-8925-4d30-bbd9-ebbe0c917841""","""SQL Database""","""Basic Database Days""","""UK West""","""Days""",0.999999999999999936,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/17/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.001157227903604507455,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/17/2018,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/17/2018,"""Azure App Service""","""ba302f7a-078b-4141-a636-a76315ba44ce""",,"""Basic Small App Service Hours""",,"""Hours""",24.0,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""","""{}""","""{}""",,
8/17/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.001220,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/17/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000052506104111671448,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/17/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.001338155008852481838,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/17/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.00000146031379699707032,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/17/2018,"""App Services""","""0f824807-2376-435c-95c9-f992b67a07b0""","""Key Vault""","""Operations (in 10,000s)""",,"""10,000s""",0.0003,"""ukwest""","""Microsoft.KeyVault""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.KeyVault/vaults/RSR-Vault""","""{}""","""{}""",,
8/17/2018,"""Data Services""","""d72ca4ba-8925-4d30-bbd9-ebbe0c917841""","""SQL Database""","""Basic Database Days""","""UK West""","""Days""",0.999999999999999936,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/18/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.00042575504630804062,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/18/2018,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/18/2018,"""Azure App Service""","""ba302f7a-078b-4141-a636-a76315ba44ce""",,"""Basic Small App Service Hours""",,"""Hours""",24.0,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""","""{}""","""{}""",,
8/18/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000598,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/18/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000064794905483722686,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/18/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000521586276590824131,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/18/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.00003096275031566619908,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/18/2018,"""App Services""","""0f824807-2376-435c-95c9-f992b67a07b0""","""Key Vault""","""Operations (in 10,000s)""",,"""10,000s""",0.0001,"""ukwest""","""Microsoft.KeyVault""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.KeyVault/vaults/RSR-Vault""","""{}""","""{}""",,
8/18/2018,"""Data Services""","""d72ca4ba-8925-4d30-bbd9-ebbe0c917841""","""SQL Database""","""Basic Database Days""","""UK West""","""Days""",0.999999999999999936,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/19/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000823348760604858394,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/19/2018,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/19/2018,"""Azure App Service""","""ba302f7a-078b-4141-a636-a76315ba44ce""",,"""Basic Small App Service Hours""",,"""Hours""",24.0,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""","""{}""","""{}""",,
8/19/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.002862,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/19/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000075008720159530640,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/19/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000817365944385528568,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/19/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.00000208616256713867188,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/19/2018,"""App Services""","""0f824807-2376-435c-95c9-f992b67a07b0""","""Key Vault""","""Operations (in 10,000s)""",,"""10,000s""",0.0002,"""ukwest""","""Microsoft.KeyVault""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.KeyVault/vaults/RSR-Vault""","""{}""","""{}""",,
8/19/2018,"""Data Services""","""d72ca4ba-8925-4d30-bbd9-ebbe0c917841""","""SQL Database""","""Basic Database Days""","""UK West""","""Days""",0.999999999999999936,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/20/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.001013611443340778349,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/20/2018,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/20/2018,"""Azure App Service""","""ba302f7a-078b-4141-a636-a76315ba44ce""",,"""Basic Small App Service Hours""",,"""Hours""",24.0,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""","""{}""","""{}""",,
8/20/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.001475,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/20/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000007500872015953064,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/20/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.001068801619112491659,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/20/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.00000020861625671386719,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/20/2018,"""App Services""","""0f824807-2376-435c-95c9-f992b67a07b0""","""Key Vault""","""Operations (in 10,000s)""",,"""10,000s""",0.0002,"""ukwest""","""Microsoft.KeyVault""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.KeyVault/vaults/RSR-Vault""","""{}""","""{}""",,
8/20/2018,"""Data Services""","""d72ca4ba-8925-4d30-bbd9-ebbe0c917841""","""SQL Database""","""Basic Database Days""","""UK West""","""Days""",0.999999999999999936,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/21/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.00152900442481040956,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/21/2018,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/21/2018,"""Azure App Service""","""ba302f7a-078b-4141-a636-a76315ba44ce""",,"""Basic Small App Service Hours""",,"""Hours""",24.0,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""","""{}""","""{}""",,
8/21/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000524,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/21/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.00160051602870225904,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/21/2018,"""App Services""","""0f824807-2376-435c-95c9-f992b67a07b0""","""Key Vault""","""Operations (in 10,000s)""",,"""10,000s""",0.0002,"""ukwest""","""Microsoft.KeyVault""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.KeyVault/vaults/RSR-Vault""","""{}""","""{}""",,
8/21/2018,"""Data Services""","""d72ca4ba-8925-4d30-bbd9-ebbe0c917841""","""SQL Database""","""Basic Database Days""","""UK West""","""Days""",0.999999999999999936,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
